SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
40,3,6,21,Kentucky,4506297,4508155,4507600,4511563,4526154,1858,-555,3963,14591,12579,51364,52384,52380,12785,58401,61410,54385,-206,-7037,-9026,-2005,122,1757,4436,7627,1010,3216,9400,8965,1132,4973,13836,16592,932,1509,-847,4,11.39427591,11.61615551,11.59142292,12.95532099,13.61767162,12.03511905,-1.561045082,-2.001516105,-0.443696124,0.389762144,0.983683297,1.687815629,0.713417789,2.08445063,1.983908104,1.103179933,3.068133928,3.671723733
40,3,7,22,Louisiana,4657785,4652022,4627047,4588023,4573749,-5763,-24975,-39024,-14274,13555,57028,56541,56209,14807,56872,56876,50094,-1252,156,-335,6115,193,3183,8225,9274,-5154,-28324,-47539,-29692,-4961,-25141,-39314,-20418,450,10,625,29,12.29175039,12.27142062,12.27033373,12.25812633,12.34412761,10.93543913,0.033624063,-0.07270699,1.334894603,0.686060207,1.785119375,2.024499191,-6.104922811,-10.31766443,-6.481715546,-5.418862604,-8.532545059,-4.457216355
40,1,1,23,Maine,1363177,1364517,1378787,1389338,1395722,1340,14270,10551,6384,2997,11590,12009,11945,3704,16116,17977,16998,-707,-4526,-5968,-5053,58,1012,2504,2209,1803,17938,13861,9216,1861,18950,16365,11425,186,-154,154,12,8.449665075,8.676631294,8.577912146,11.74933584,12.9885753,12.20655928,-3.299670762,-4.311944005,-3.628647139,0.737796467,1.809166855,1.5863213,13.0776611,10.01472116,6.618169806,13.81545757,11.82388801,8.204491106
40,3,5,24,Maryland,6177253,6173689,6175045,6163981,6180253,-3564,1356,-11064,16272,17156,67431,68904,67969,16929,58995,57559,53770,227,8436,11345,14199,508,9041,23536,32977,-5257,-17683,-45734,-30905,-4749,-8642,-22198,2072,958,1562,-211,1,10.92111953,11.16846662,11.01226694,9.55482562,9.329585658,8.711759677,1.366293905,1.838880962,2.300507265,1.464279658,3.81488782,5.342899365,-2.863937307,-7.412902769,-5.007196072,-1.399657649,-3.598014949,0.335703293
40,1,1,25,Massachusetts,7032933,6997713,6991951,6982740,7001399,-35220,-5762,-9211,18659,17113,66441,69069,68387,22133,61652,63566,61404,-5020,4789,5503,6983,908,16477,42932,50647,-27235,-26269,-56813,-39149,-26327,-9792,-13881,11498,-3873,-759,-833,178,9.498584098,9.884869726,9.780652209,8.813935774,9.097303118,8.781949321,0.684648323,0.787566609,0.998702888,2.355596246,6.144250345,7.243492073,-3.755486908,-8.130841677,-5.599057618,-1.399890662,-1.986591331,1.644434455
40,2,3,26,Michigan,10077674,10070627,10038117,10033281,10037261,-7047,-32510,-4836,3980,26588,102799,104411,101911,31057,115214,117927,105941,-4469,-12415,-13516,-4030,409,7044,18766,22817,-4859,-29881,-8588,-15051,-4450,-22837,10178,7766,1872,2742,-1498,244,10.22430839,10.40395891,10.15528131,11.45909461,11.75075099,10.55686488,-1.23478622,-1.346792087,-0.401583575,0.700590748,1.869924556,2.273680502,-2.971940963,-0.855745076,-1.49981002,-2.271350215,1.014179481,0.773870481
40,2,4,27,Minnesota,5706804,5710578,5717968,5714300,5737915,3774,7390,-3668,23615,16461,63012,64630,63754,12746,51396,53436,49911,3715,11616,11194,13843,295,5523,14231,14575,-1510,-10887,-28893,-4686,-1215,-5364,-14662,9889,1274,1138,-200,-117,11.02712454,11.30659288,11.13391602,8.994320012,9.3482763,8.716392418,2.032804523,1.958316583,2.417523597,0.966527151,2.489619733,2.545359129,-1.905229239,-5.054640077,-0.818356973,-0.938702089,-2.565020344,1.727002156
40,3,6,28,Mississippi,2961306,2958409,2949582,2938928,2939690,-2897,-8827,-10654,762,8503,35004,34786,34628,9676,41703,40733,36032,-1173,-6699,-5947,-1404,58,627,1555,4800,-2122,-3456,-5752,-2614,-2064,-2829,-4197,2186,340,701,-510,-20,11.84971338,11.81487337,11.78100023,14.11748935,13.83473918,12.25866352,-2.267775966,-2.019865806,-0.477663288,0.212254893,0.528147188,1.63303688,-1.169940848,-1.95363513,-0.889324668,-0.957685954,-1.425487942,0.743712213
40,2,4,29,Missouri,6154889,6154426,6170393,6177168,6196156,-463,15967,6775,18988,17239,68820,68857,68334,16745,75365,75735,68389,494,-6545,-6878,-55,270,3862,10127,7852,-1291,16811,4614,11171,-1021,20673,14741,19023,64,1839,-1088,20,11.16770964,11.15313381,11.04537471,12.22979421,12.26719998,11.0542648,-1.062084563,-1.114066171,-0.008890093,0.626702916,1.640323947,1.269181992,2.727991381,0.747354073,1.80565869,3.354694296,2.38767802,3.074840682
40,4,8,30,Montana,1084244,1087211,1106366,1122878,1132812,2967,19155,16512,9934,2812,10841,11219,11206,2518,12151,12896,11377,294,-1310,-1677,-171,44,712,1793,609,2746,20376,15837,9485,2790,21088,17630,10094,-117,-623,559,11,9.884312244,10.06529568,9.93576245,11.07870843,11.56984161,10.08737903,-1.194396185,-1.504545936,-0.151616579,0.649168003,1.608617092,0.539967815,18.57787532,14.20840428,8.409843551,19.22704332,15.81702138,8.949811366
40,2,4,31,Nebraska,1961965,1963273,1964253,1968060,1978379,1308,980,3807,10319,6046,24410,24174,24195,4462,19570,19473,18496,1584,4840,4701,5699,93,1580,4042,5441,-778,-6037,-4367,-834,-685,-4457,-325,4607,409,597,-569,13,12.43021689,12.29505383,12.26168706,9.965561017,9.904094613,9.373513692,2.464655867,2.390959214,2.888173363,0.804577742,2.055787523,2.757422578,-3.074199891,-2.221084639,-0.422659517,-2.269622149,-0.165297116,2.334763061
40,4,8,32,Nevada,3104617,3115840,3146632,3177421,3194176,11223,30792,30789,16755,8167,33361,33542,33055,7009,32390,33435,29322,1158,971,107,3733,137,3612,10179,4266,10289,25387,20526,8642,10426,28999,30705,12908,-361,822,-23,114,10.65425921,10.60775424,10.37573469,10.34415803,10.57391518,9.20397194,0.310101187,0.033839059,1.171762747,1.153538092,3.219138107,1.339067741,8.107661,6.491406698,2.712663717,9.261199092,9.710544804,4.051731458
40,1,1,33,New Hampshire,1377524,1378702,1387494,1399003,1402054,1178,8792,11509,3051,2994,12044,12332,12155,3481,13709,14674,14264,-487,-1665,-2342,-2109,88,1542,3834,859,1272,8461,10118,4298,1360,10003,13952,5157,305,454,-101,3,8.707987431,8.851256614,8.678866585,9.911806683,10.5322202,10.18472669,-1.203819252,-1.68096359,-1.505860109,1.114888461,2.751842188,0.613339893,6.117426242,7.262164646,3.068841512,7.232314702,10.01400683,3.682181405
40,1,2,34,New Jersey,9289039,9272392,9269175,9260817,9290841,-16647,-3217,-8358,30024,24722,98001,102468,102055,33966,83971,82566,76563,-9244,14030,19902,25492,901,14745,38635,49298,-9361,-33561,-65605,-44666,-8460,-18816,-26970,4632,1057,1569,-1290,-100,10.5709512,11.05969177,11.00225112,9.057594755,8.911606654,8.254033144,1.513356449,2.148085115,2.748217976,1.590480459,4.169996404,5.314673222,-3.62008238,-7.080952868,-4.815310847,-2.029601921,-2.910956465,0.499362375
40,4,8,35,New Mexico,2117525,2118488,2116950,2113476,2114371,963,-1538,-3474,895,5327,21433,21151,20728,5523,24640,25470,22344,-196,-3207,-4319,-1616,158,2259,5839,3642,702,-1206,-4496,-1088,860,1053,1343,2554,299,616,-498,-43,10.12079506,9.999465775,9.805463632,11.63516028,12.04134052,10.56991892,-1.51436522,-2.041874743,-0.764455289,1.066713761,2.760478496,1.722862724,-0.569480653,-2.125554259,-0.514682769,0.497233108,0.634924237,1.208179955
40,1,2,36,New York,20202320,20104710,19854526,19673200,19571216,-97610,-250184,-181326,-101984,53056,205414,210106,207450,72698,177088,176382,165914,-19642,28326,33724,41536,1343,28769,77285,73867,-72398,-295159,-298341,-216778,-71055,-266390,-221056,-142911,-6913,-12120,6006,-609,10.28117755,10.63081646,10.57220472,8.863432724,8.924469877,8.455419492,1.417744824,1.706346578,2.116785226,1.43991742,3.910419739,3.764459127,-14.77300517,-15.09527768,-11.04758445,-13.33308775,-11.18485794,-7.283125324
40,3,5,37,North Carolina,10439459,10453812,10567100,10695965,10835491,14353,113288,128865,139526,28675,116747,121639,121148,25861,115480,117926,108491,2814,1267,3713,12657,679,9920,26184,29448,12492,101909,98524,97264,13171,111829,124708,126712,-1632,192,444,157,11.10770075,11.44134206,11.2531173,10.98715413,11.09209796,10.07744205,0.120546625,0.3492441,1.175675254,0.943822038,2.462862245,2.735346834,9.695963715,9.267149397,9.03459571,10.63978575,11.73001164,11.76994254
40,2,4,38,North Dakota,779079,779563,777982,778912,783926,484,-1581,930,5014,2563,10019,9839,9649,1751,7766,7390,6945,812,2253,2449,2704,29,453,1260,2298,-448,-4008,-2727,-9,-419,-3555,-1467,2289,91,-279,-52,21,12.86511786,12.63926767,12.34804887,9.972103535,9.493260299,8.887677418,2.893014327,3.146007371,3.460371452,0.581684638,1.618607304,2.940803845,-5.146560774,-3.503128665,-0.011517509,-4.564876135,-1.884521361,2.929286337
40,2,3,39,Ohio,11799331,11798292,11765227,11759697,11785935,-1039,-33065,-5530,26238,32340,128271,128796,128826,33762,146812,149079,131288,-1422,-18541,-20283,-2462,518,9280,23737,28081,-2867,-27624,-4862,637,-2349,-18344,18875,28718,2732,3820,-4122,-18,10.8872533,10.94974845,10.94266656,12.46095713,12.67413234,11.1517924,-1.573703826,-1.724383892,-0.209125837,0.787658244,2.018029899,2.385240711,-2.344641308,-0.413348838,0.0541077,-1.556983064,1.604681061,2.439348411
40,3,7,40,Oklahoma,3959411,3965234,3991634,4019271,4053824,5823,26400,27637,34553,11579,47473,48121,48073,10353,50805,51669,45506,1226,-3332,-3548,2567,172,2188,5663,8380,3825,26348,26304,23587,3997,28536,31967,31967,600,1196,-782,19,11.93258453,12.01387359,11.90943498,12.77009999,12.89966614,11.27349548,-0.837515465,-0.885792554,0.6359395,0.549965137,1.413822783,2.076031559,6.622706321,6.567048292,5.843359951,7.172671458,7.980871075,7.91939151
40,4,9,41,Oregon,4237279,4245044,4256465,4239379,4233358,7765,11421,-17086,-6021,10281,39660,40521,39046,9546,41943,46369,43285,735,-2283,-5848,-4239,177,2609,7234,4304,6407,10253,-17575,-6051,6584,12862,-10341,-1747,446,842,-897,-35,9.330108337,9.539016959,9.216856371,9.86718946,10.91569007,10.21747754,-0.537081123,-1.376673112,-1.000621169,0.61377339,1.70295029,1.015964499,2.41204238,-4.137317022,-1.428346,3.02581577,-2.434366733,-0.412381501
40,1,2,42,Pennsylvania,13002788,12995477,13013614,12972091,12961683,-7311,18137,-41523,-10408,32903,130245,131600,129489,40289,155661,155062,140568,-7386,-25416,-23462,-11079,626,10199,25721,25776,-3696,27803,-39731,-24825,-3070,38002,-14010,951,3145,5551,-4051,-280,10.01534425,10.12864573,9.986128513,11.96973781,11.93440778,10.84053559,-1.954393562,-1.805762053,-0.854407075,0.784264241,1.979626876,1.987832546,2.137944767,-3.057912033,-1.91449189,2.922209008,-1.078285157,0.073340656
40,1,1,44,Rhode Island,1097371,1096444,1097092,1093842,1095962,-927,648,-3250,2120,2546,10030,10386,10006,3389,11332,11078,10434,-843,-1302,-692,-428,77,1072,2663,5777,-430,365,-4855,-3224,-353,1437,-2192,2553,269,513,-366,-5,9.145051643,9.48088806,9.138717438,10.33217599,10.11258212,9.529620003,-1.187124351,-0.631694063,-0.390902565,0.977417284,2.430926719,5.276271301,0.332795997,-4.43189982,-2.944555768,1.310213281,-2.000973101,2.331715533
40,3,5,45,South Carolina,5118422,5132151,5193848,5282955,5373555,13729,61697,89107,90600,13492,55815,57508,57581,14065,64911,64636,58852,-573,-9096,-7128,-1271,335,4028,10467,9291,14724,67368,83401,82562,15059,71396,93868,91853,-757,-603,2367,18,10.81057629,10.97815813,10.80672753,12.57234288,12.33887857,11.04526717,-1.761766585,-1.360720441,-0.238539634,0.780166645,1.998128628,1.743722851,13.04822904,15.92107821,15.49512927,13.82839568,17.91920684,17.23885212
40,2,4,46,South Dakota,886668,887852,896299,909869,919318,1184,8447,13570,9449,2832,11063,11324,11369,2020,9779,9226,8556,812,1284,2098,2813,65,1100,2781,1788,299,6026,8374,4812,364,7126,11155,6600,8,37,317,36,12.4014167,12.53925438,12.43065909,10.96207664,10.21610393,9.354975735,1.439340056,2.323150449,3.07568335,1.233079487,3.079447759,1.954966879,6.755033627,9.272670095,5.261353815,7.988113114,12.35211785,7.216320693
40,3,6,47,Tennessee,6910786,6926091,6963709,7048976,7126489,15305,37618,85267,77513,19250,79463,82053,82244,18931,89405,91616,81216,319,-9942,-9563,1028,208,3114,7993,13054,14621,45241,83818,63417,14829,48355,91811,76471,157,-795,3019,14,11.44192141,11.71124592,11.60371106,12.8734755,13.07615207,11.45867173,-1.43155409,-1.364906155,0.145039334,0.448386586,1.140823475,1.841773797,6.514276664,11.96316052,8.947431354,6.962663249,13.103984,10.78920515
40,3,7,48,Texas,29145459,29234361,29561286,30029848,30503301,88902,326925,468562,473453,88268,364918,384024,390494,55732,270419,261745,232241,32536,94499,122279,158253,1957,43475,117197,128534,52914,191643,224896,186767,54871,235118,342093,315301,1495,-2692,4190,-101,12.41309582,12.8886287,12.90182343,9.198606149,8.784696059,7.673184159,3.214489671,4.103932642,5.22863927,1.478850977,3.933370357,4.246730994,6.51895199,7.547968461,6.17073465,7.997802967,11.48133882,10.41746564
40,4,8,49,Utah,3271614,3283982,3339284,3381236,3417734,12368,55302,41952,36498,11862,45703,46371,45965,4964,21993,23370,21169,6898,23710,23001,24796,120,2054,5462,10285,4636,29664,13803,1338,4756,31718,19265,11623,714,-126,-314,79,13.80074423,13.79982501,13.52116571,6.641134449,6.954818972,6.227119696,7.159609776,6.845006041,7.29404601,0.62023781,1.625469458,3.025458268,8.957514314,4.107717855,0.393589029,9.577752124,5.733187313,3.419047297
40,1,1,50,Vermont,643077,642936,647093,647110,647464,-141,4157,17,354,1303,5153,5385,5072,1565,6447,7216,6876,-262,-1294,-1831,-1804,21,415,1009,1312,-66,4842,1126,844,-45,5257,2135,2156,166,194,-287,2,7.98896769,8.321723872,7.835782273,9.995124141,11.15126452,10.62279947,-2.006156451,-2.829540652,-2.787017196,0.643396389,1.559260796,2.026921597,7.506807987,1.740067053,1.303903833,8.150204375,3.299327849,3.33082543
40,3,5,51,Virginia,8631373,8637193,8657348,8679099,8715698,5820,20155,21751,36599,23580,94275,96018,95669,19723,83763,86329,79980,3857,10512,9689,15689,764,14296,37444,28117,-31,-5468,-24930,-6985,733,8828,12514,21132,1230,815,-452,-222,10.90228414,11.07701019,10.99972595,9.686640426,9.959249436,9.19585322,1.215643711,1.11776075,1.803872733,1.653238441,4.319685573,3.232805764,-0.632338262,-2.876021828,-0.803113713,1.020900179,1.443663745,2.429692051
40,4,9,53,Washington,7705267,7724566,7741433,7784477,7812880,19299,16867,43044,28403,21105,82602,83874,82523,15173,64924,70848,67663,5932,17678,13026,14860,673,13996,37322,28919,11889,-15418,-4692,-15276,12562,-1422,32630,13643,805,611,-2612,-100,10.68175422,10.80439085,10.58166457,8.395707254,9.126421575,8.676213541,2.28604696,1.677969279,1.905451033,1.809905716,4.807705313,3.708192356,-1.993792965,-0.604409017,-1.958793403,-0.183887248,4.203296296,1.749398953
40,3,5,54,West Virginia,1793713,1791562,1785249,1774035,1770071,-2151,-6313,-11214,-3964,4296,17056,17100,17263,5871,27613,30006,25929,-1575,-10557,-12906,-8666,36,727,1792,1101,-813,2878,414,3595,-777,3605,2206,4696,201,639,-514,6,9.536986998,9.608674104,9.741807948,15.44001067,16.86069445,14.63218087,-5.903023671,-7.25202035,-4.890372918,0.406507361,1.006944093,0.621313245,1.609254724,0.232631057,2.02872036,2.015762085,1.239575151,2.650033605
40,2,3,55,Wisconsin,5893713,5896700,5879978,5890543,5910955,2987,-16722,10565,20412,15554,60034,60702,59839,14171,61983,63601,58692,1383,-1949,-2899,1147,215,3189,7906,13653,13,-19290,7392,5648,228,-16101,15298,19301,1376,1328,-1834,-36,10.19540485,10.31424183,10.14091601,10.52639802,10.80682835,9.946533906,-0.330993171,-0.492586522,0.194382103,0.541578873,1.343355999,2.313774065,-3.275966278,1.256019169,0.957166624,-2.734387405,2.599375168,3.270940689
40,4,8,56,Wyoming,576850,577664,579548,581629,584057,814,1884,2081,2428,1584,6164,6046,5882,1290,6176,6754,5779,294,-12,-708,103,18,134,364,322,436,1764,2475,2016,454,1898,2839,2338,66,-2,-50,-13,10.6531906,10.41357175,10.09191154,10.6739301,11.63302408,9.91519157,-0.020739501,-1.219452332,0.176719974,0.2315911,0.626950069,0.552464386,3.048706719,4.26291599,3.458907459,3.280297819,4.889866058,4.011371845
40,X,X,72,Puerto Rico,3285874,3281557,3262693,3220113,3205691,-4317,-18864,-42580,-14422,4545,18794,19698,18805,7301,33341,34137,35099,-2756,-14547,-14439,-16294,-1561,-4317,-28141,1872,0,0,0,0,-1561,-4317,-28141,1872,0,0,0,0,5.743668106,6.059366286,5.85296408,10.18940291,10.50099436,10.92439172,-4.445734805,-4.441628074,-5.071427638,-1.319326126,-8.656545165,0.582650825,0,0,0,-1.319326126,-8.656545165,0.582650825
